référence;titre;description;tdm thérorique;option montage;prix
p01;Chaise turbis;La chaise turbis en plastique noir combine style et fonctionnalité. Son design moderne et ergonomique en fait le choix idéal pour ajouter une touche de sophistication à votre espace. Fabriquée avec des matériaux de haute qualité, elle offre un confort optimal pour vos moments de détente.;10;FALSE;€50.00
p02;Chaise gingis;La chaise ningid en plastique orange apporte une touche de dynamisme à votre intérieur. Son allure vive et son design contemporain en font un élément de décoration à part entière. Conçue pour allier confort et esthétique, elle deviendra rapidement l'incontournable de votre espace de vie.30;13;FALSE;€50.00
p03;Chaise pogis;Élégante et polyvalente, la chaise pogis en plastique blanche incarne le mariage parfait entre style et praticité. Sa couleur neutre s'harmonise facilement avec tout type de décoration, tandis que sa construction robuste garantit une durabilité à toute épreuve. Ajoutez une touche de modernité à votre intérieur avec cette pièce incontournable.;20;FALSE;€50.00
p04;Table tagis;La table tagis en plastique verte est un choix écologique et tendance pour votre espace extérieur. Son design minimaliste et sa couleur rafraîchissante apportent une touche de nature à votre jardin ou terrasse. Robuste et facile à entretenir, elle est parfaite pour vos repas en plein air ou vos moments de détente sous le soleil.;10;TRUE;€120.00
p05;Canapé cainis;Transformez votre salon en espace de repos supplémentaire avec ce canapé-lit convertible. Le canapé cainis, son design moderne et son revêtement en tissu gris apportent confort et élégance à votre intérieur. Parfait pour accueillir les invités de dernière minute tout en optimisant l'espace.;60;TRUE;€320.00
p06;Table bassis;Ajoutez une touche de sophistication à votre salon avec cette table basse en bois massif. Son plateau en verre transparent met en valeur la beauté naturelle du bois, tandis que son design apporte une note contemporaine à votre espace de vie.;10;TRUE;€200.00
p07;Lit double chanis;Offrez-vous des nuits de sommeil réparateur dans ce lit double en chêne massif. Sa tête de lit rembourrée offre un confort supplémentaire pour vos moments de détente, tandis que sa construction robuste garantit une durabilité à long terme. Ajoutez une touche de luxe à votre chambre à coucher avec ce magnifique lit.;90;TRUE;€600.00
p08;Fauteuil rotis;Créez un coin de relaxation élégant dans votre jardin ou votre véranda avec ce fauteuil en rotin naturel. Son design organique et son coussin moelleux vous invitent à vous détendre en plein air tout en ajoutant une touche de charme rustique à votre espace extérieur.;14;FALSE;€150.00
p09;Lampadaire lapis;Illuminez votre salon avec style grâce à ce lampadaire en métal noir. Son abat-jour noir tamise la lumière pour créer une ambiance chaleureuse et accueillante, tandis que son design contemporain ajoute une touche d'élégance à votre décoration intérieure.;5;TRUE;€230.00
p10;Commode comis;Ajoutez une touche d'originalité à votre chambre ou à votre salon avec cette commode en bois dotée de tiroirs en rotin. Son design unique et ses matériaux naturels apportent une atmosphère chaleureuse et authentique à votre intérieur, tout en offrant un espace de rangement pratique pour vos vêtements ou vos objets décoratifs.;20;TRUE;€170.00
p11;Etagère métalis;Ajoutez une touche de modernité à votre espace de vie avec cette étagère en métal au design contemporain. Ses lignes fines et sophistiquées apportent une esthétique chic et industrielle à votre intérieur. Cette étagère polyvalente offre un espace de rangement pratique pour vos livres, plantes et objets décoratifs. Solide et durable, elle constitue un choix parfait pour créer un espace organisé et élégant dans n'importe quelle pièce de votre maison.;10;TRUE;€110.00
p12;Meuble à chaussure chosis;Ajoutez une touche de modernité à votre entrée avec ce meuble à chaussures en acier brossé au design contemporain. Ses lignes épurées et son fini métallique apportent une esthétique élégante et sophistiquée à votre espace. Ce meuble compact est parfait pour ranger jusqu'à quatre paires de chaussures, offrant ainsi une solution pratique et organisée pour votre foyer. Solide et résistant, il constitue un choix idéal pour créer un espace accueillant et ordonné dès que vous franchissez la porte d'entrée.;28;FALSE;€70.00
p13;Meuble sallis;Ajoutez une touche de fraîcheur à votre salle de bain avec ce meuble à monter blanc au design moderne. Ses lignes épurées et sa couleur blanche apportent une esthétique propre et lumineuse à votre espace. Ce meuble polyvalent est idéal pour ranger vos articles de toilette et autres nécessités de salle de bain, offrant ainsi une solution pratique et organisée pour votre routine matinale. Vous avez également la possibilité d'ajouter un miroir pour une fonctionnalité supplémentaire et pour agrandir visuellement votre salle de bain. Robuste et facile à monter, il constitue un choix parfait pour créer un espace de salle de bain élégant et fonctionnel.;30;TRUE;€120.00
p14;Canapé vert canapis;Ajoutez une touche de luxe à votre salon avec ce canapé vert en velours au design élégant. Son revêtement en velours doux et sa couleur verte apportent une ambiance raffinée et chaleureuse à votre espace de vie. Conçu pour accueillir confortablement jusqu'à trois personnes, ce canapé est parfait pour les réunions en famille ou entre amis. Les gros coussins ajoutent non seulement du confort, mais également une esthétique moderne et accueillante à votre salon. Avec ce canapé, vous pouvez créer un espace de détente élégant et confortable où vous pourrez vous prélasser et vous détendre après une longue journée.;45;TRUE;€240.00
p15;Commode beguis;Ajoutez une touche de chaleur et de praticité à votre chambre avec cette commode marron facile à assembler dotée de six tiroirs. Son design classique et sa couleur marron apportent une ambiance chaleureuse et intemporelle à votre espace. Conçue pour être montée facilement, cette commode vous offre un rangement pratique et organisé pour vos vêtements, vos accessoires ou même vos articles de maison. Avec ses six tiroirs spacieux, vous disposez d'un espace généreux pour garder votre chambre en ordre. Que vous ayez besoin de ranger vos vêtements pliés ou vos objets personnels, cette commode polyvalente répondra à tous vos besoins tout en ajoutant une touche élégante à votre décor.;30;TRUE;€110.00
p16;Commode compatis;Ajoutez une touche de modernité et d'élégance à votre chambre avec cette commode blanche et marron facile à assembler, dotée de six tiroirs. Son design contemporain et son contraste de couleurs apportent une esthétique raffinée et intemporelle à votre espace. Conçue pour être montée facilement, cette commode offre un rangement pratique et organisé pour vos vêtements, vos accessoires ou vos objets personnels. Avec ses six tiroirs spacieux, vous disposez d'un espace généreux pour garder votre chambre en ordre tout en ajoutant une touche de style à votre décor.;30;TRUE;€150.00
p17;Vase luminis;Ajoutez une touche de fraîcheur et d'élégance à votre décoration avec ce vase en verre transparent vert, haut de 40 cm. Sa couleur vive et sa transparence apportent une ambiance lumineuse et rafraîchissante à votre espace. Parfait pour être utilisé comme élément décoratif, ce vase ajoute une note de sophistication à n'importe quelle pièce de votre maison. Que vous y disposiez des fleurs fraîches ou des branches d'eucalyptus séchées, ce vase est un choix idéal pour mettre en valeur votre style personnel et embellir votre intérieur.;12;FALSE;€20.00
p18;Table basse feris;Apportez une élégance industrielle à votre salon avec cette table basse, caractérisée par son plateau en bois et sa structure en métal noir. Son design équilibré et ses matériaux contrastés offrent une esthétique moderne et sophistiquée à votre espace de vie. Parfaite pour supporter vos livres, magazines et boissons, cette table basse allie fonctionnalité et style avec brio. Que vous recherchiez un meuble central pour vos soirées détente ou un élément de décoration à part entière, cette table basse saura répondre à vos besoins tout en ajoutant une touche d'élégance à votre salon.;10;TRUE;€50.00
p19;Tables basses kikis;Apportez une touche contemporaine à votre salon avec cet ensemble de deux tables basses, arborant des plateaux en bois et des structures en métal. Pratique et esthétique, la petite table se range facilement sous la grande, offrant ainsi une solution astucieuse pour économiser de l'espace lorsque nécessaire. Le mariage du bois chaleureux et du métal noir confère à cet ensemble une esthétique moderne et sophistiquée, tandis que sa fonctionnalité permet de supporter divers objets de décoration ou de se transformer en espace de travail improvisé. Que ce soit pour les réunions entre amis ou les moments de détente en famille, ces tables basses polyvalentes ajouteront une touche d'élégance et de praticité à votre salon.;43;FALSE;€100.00
p20;Fauteuil rose ikabis;Apportant une fusion subtile de modernité et de confort à votre espace, ce fauteuil en tissu rose est soutenu par une structure en métal, garantissant une stabilité et une durabilité optimales. Les coussins rose ajoutent une touche de douceur et de style à votre décor intérieur. De plus, les petits bouts en plastique situés sous la base du fauteuil assurent une protection supplémentaire contre les rayures sur vos sols, offrant ainsi une expérience complète alliant praticité et esthétique dans votre salon ou votre espace de détente.;10;TRUE;€240.00
p21;Fauteuil gris peritis;Apportant une touche contemporaine à votre espace, ce fauteuil en tissu gris est soutenu par une structure en métal, alliant style et solidité. Les coussins gris ajoutent une élégance discrète à votre décoration intérieure. De plus, les petits bouts en plastique situés sous la base du fauteuil assurent une protection efficace contre les rayures sur vos sols, offrant ainsi une expérience complète alliant confort et préservation de votre espace.;10;TRUE;€245.00
p22;Table banis;La table banis en plastique et bois blanc est un choix écologique et tendance pour votre espace extérieur. Son design minimaliste et sa couleur blanche apportent une touche de raffinée à votre salon ou terrasse. Robuste et facile à entretenir, elle est parfaite pour vos repas en plein air ou vos moments de détente sous le soleil.;5;TRUE;€45.00
